MSG_KEY,MSG_CONTENT
ERR_GENERAL,"出现错误"
INFO_GENERAL,"讯息"
APP_QGL_CAPTION,"《梦幻古龙》客户端%s到%s更新补丁"
MSG_INSTRUCTION_STEP1,"单击「安装」按钮开始解压"
MSG_INSTRUCTION_STEP2,"使用「浏览」按钮从目录树中选择目标活页夹。它也可以手动输入。"
MSG_INSTRUCTION_STEP3,"如果指定的目标活页夹不存在，在文件解压前它将被自动制建。"
APP_BUTTON_INSTALL,"安装"
APP_BUTTON_CANCEL,"取消"
APP_BUTTON_BROWSE,"浏览"
MSG_SELECT_TARGET_DIR,"選擇目標資料夾"
MSG_ERR_SELECT_TARGET_DIR,"選擇目標資料夾不正確"
APP_LABEL_TARGETFOLDER,"目标活页夹"
APP_LABEL_INSTALLPROGRESS,"安装进度"
APP_QGL_PATCHER_CAPTION,"梦幻古龙 - 更新程序"
MSG_CONNECTION_FAILED,"联机失败，请先检查阁下的网络。"
MSG_TRACKER_DOWNLOADING,"正在更新服务器资料，请稍候片刻…"
MSG_TRACKER_DOWNLOAD_FAILED,"服务器资料更新失败。请检查网络联线，并在重启后程序后再尝试。"
MSG_SERVERLIST_DOWNLOADING,"正在更新服务器资料，请稍候片刻…"
MSG_SERVERLIST_DOWNLOAD_FAILED,"服务器资料更新失败，请到上一页并选择其它服务器、线，或重启程序后再尝试。"
MSG_SERVERLIST_LOAD_FAILED,"档案列表加载失败。"
MSG_CANNOT_REVERT_VERSION,"你的客户端版本比所选择服务器还新，因此不能回溯至旧版本。"
MSG_DOWNLOAD_FILE_ERR,"下载的档案错误，请联络您的游戏管理员。"
MSG_DOWNLOAD_MERGEFILE_ERR,"下载的档案合并错误，请联络您的游戏管理员。"
MSG_CONFIGURATION_ERR,"载入资料档案失败，请联络您的游戏管理员。"
MSG_FILEMOVE_ERR,"档案拷贝错误，%s拷贝到%s失败。"
MSG_UPDATE_PREPROCESSING,"正在准备中，请稍候片刻…"
MSG_UPDATE_COPYING,"正在拷贝中，请稍候片刻…"
MSG_UPDATE_MERGING,"档案拷贝中，请稍候片刻…"
MSG_CHECK_OPENAPP_PROCESS,"如阁下正在使用以上档案，请关闭程序。"
MSG_ASK_RESTART_SYS,"如果仍然无效，请关闭系统再执行。"
